姓名,性别,年龄,婚姻状况,受教育程度,人生阶段,是否有车,通勤距离,通勤方式,职业,家庭编号,预期行为,行为时间,回家时间,house_ue_id,AGE,SEX,IDENTITY_ID,id,age_type
韩志,男,43,未婚,初中,上班族,有车,30-60分钟,其他,制造业,1326,去工作地,7时14分,18时57分,YSHY_2_1_026F_03,43,男性,bdaff7f5-dad0-445c-8132-b542eebb0d08,bdaff7f5-dad0-445c-8132-b542eebb0d08,middle-aged
梁凛博,男,70,未婚,本科,退休,有车,15分钟内,公共交通,租赁/商务服务,1265,去小区商场,9时3分,14时25分,YSHY_8_1_004F_02,70,男性,d43d6774-cff6-4be7-bf7f-525518403e9c,d43d6774-cff6-4be7-bf7f-525518403e9c,old
张驰,男,54,已婚,小学及以下,上班族,无车,30-60分钟,驾车,交通运输/仓储/邮政,6,去工作地,7时28分,19时20分,YSHY_8_1_016F_04,54,男性,376cfe4a-5af8-40db-9b45-4e7472371956,376cfe4a-5af8-40db-9b45-4e7472371956,middle-aged
罗平涛,男,9,未婚,小学及以下,未成年学生,无车,30-60分钟,驾车,学生,295,去学校,7时33分,15时57分,YSHY_5_1_009F_01,9,男性,c47401a3-4316-4846-aba7-571c7d0c0279,c47401a3-4316-4846-aba7-571c7d0c0279,child
程松,男,46,已婚,高中,上班族,有车,15-30分钟,公共交通,社会保障/公共管理,7,去工作地,7时28分,18时3分,YSHY_9_1_026F_02,46,男性,e8e59b1b-209c-442c-bbc9-6e73d8bf5a2c,e8e59b1b-209c-442c-bbc9-6e73d8bf5a2c,middle-aged
何涵天,男,52,未婚,高中,上班族,有车,15-30分钟,驾车,信息/软件技术,1327,去工作地,8时14分,18时40分,YSHY_7_1_022F_01,52,男性,47559be0-1303-479b-95ca-0bd1f91dd423,47559be0-1303-479b-95ca-0bd1f91dd423,middle-aged
周驰,男,39,未婚,小学及以下,上班族,无车,30-60分钟,公共交通,教育,1328,去工作地,7时24分,17时55分,YSHY_1_1_016F_01,39,男性,3cf0eb7b-0ac1-4791-b4a8-68b90a172f8c,3cf0eb7b-0ac1-4791-b4a8-68b90a172f8c,teenager
苏俊强,男,48,未婚,小学及以下,上班族,无车,15-30分钟,驾车,交通运输/仓储/邮政,1329,去工作地,7时40分,19时0分,YSHY_6_1_007F_02,48,男性,bc9fbcd9-59c6-4615-b636-a37e894ac33b,bc9fbcd9-59c6-4615-b636-a37e894ac33b,middle-aged
蒋勇鹏,男,79,已婚,初中,退休,无车,15分钟内,公共交通,金融,8,去小区商场,10时43分,15时26分,YSHY_4_1_020F_04,79,男性,5eb3f584-045b-4125-84b0-76f0849c8fa0,5eb3f584-045b-4125-84b0-76f0849c8fa0,old
王梅嫣,女,53,未婚,初中,上班族,有车,15-30分钟,驾车,科研,1330,去工作地,7时46分,17时19分,YSHY_1_1_011F_01,53,女性,fec20f21-38ee-4bda-a7a4-22ba03142fcb,fec20f21-38ee-4bda-a7a4-22ba03142fcb,middle-aged
程莹倩,女,42,未婚,小学及以下,上班族,无车,15分钟内,驾车,科研,971,去工作地,7时59分,17时42分,YSHY_3_1_004F_01,42,女性,ba6adb7c-6282-4e95-8bfd-5c3c5f2a123b,ba6adb7c-6282-4e95-8bfd-5c3c5f2a123b,middle-aged
陈柏,男,20,未婚,初中,自由职业,无车,15-30分钟,驾车,制造业,210,去小区公共场所,11时25分,16时2分,YSHY_7_1_022F_04,20,男性,fcb13562-8b5e-49ec-ac21-0cf1836256c0,fcb13562-8b5e-49ec-ac21-0cf1836256c0,teenager
潘飞勇,男,31,已婚,小学及以下,上班族,有车,15-30分钟,骑车,社会保障/公共管理,9,去工作地,7时47分,18时34分,YSHY_10_1_009F_02,31,男性,f144d8ad-10bb-4fc5-adfe-a883d9f6a512,f144d8ad-10bb-4fc5-adfe-a883d9f6a512,teenager
王紫莉,女,18,未婚,小学及以下,上班族,有车,15分钟内,驾车,交通运输/仓储/邮政,430,去工作地,7时1分,19时4分,YSHY_3_1_009F_02,18,女性,ab674301-346d-4797-863f-4760c50f42c0,ab674301-346d-4797-863f-4760c50f42c0,child
赵梅红,女,57,未婚,小学及以下,退休,有车,15分钟内,公共交通,房地产,1152,去小区商场,9时46分,15时6分,YSHY_7_1_028F_04,57,女性,c884f539-3900-4923-984a-b38db4bf93e2,c884f539-3900-4923-984a-b38db4bf93e2,old
高涵晓,男,36,已婚,小学及以下,自由职业,有车,30-60分钟,驾车,建筑,10,去小区公共场所,11时36分,17时22分,YSHY_10_1_023F_04,36,男性,d0a17f18-cc95-46ef-96c4-98fa0c1ae603,d0a17f18-cc95-46ef-96c4-98fa0c1ae603,teenager
苏勋,男,46,未婚,初中,上班族,有车,15-30分钟,公共交通,教育,1331,去工作地,7时43分,17时47分,YSHY_8_1_012F_01,46,男性,2cca03fa-29b7-4fce-b222-675b80cdac6d,2cca03fa-29b7-4fce-b222-675b80cdac6d,middle-aged
黄萍,女,56,未婚,初中,退休,有车,15分钟内,驾车,教育,1222,去小区商场,10时48分,15时39分,YSHY_10_1_014F_04,56,女性,0cac245b-59d0-4c41-9027-7c2b863a7a87,0cac245b-59d0-4c41-9027-7c2b863a7a87,old
唐武,男,11,未婚,小学及以下,未成年学生,无车,15-30分钟,驾车,学生,5,去学校,7时30分,16时50分,YSHY_4_1_006F_04,11,男性,9b0801ed-f411-4e5c-a7b0-9c49b789b58a,9b0801ed-f411-4e5c-a7b0-9c49b789b58a,child
孙红丽,女,33,未婚,初中,上班族,有车,60分钟以上,驾车,制造业,607,去工作地,7时21分,18时0分,YSHY_10_1_007F_03,33,女性,f916e4a7-a310-4f76-98ca-d055380cb3bf,f916e4a7-a310-4f76-98ca-d055380cb3bf,teenager
何强宗,男,55,未婚,初中,上班族,无车,15分钟内,驾车,交通运输/仓储/邮政,1332,去工作地,7时26分,17时30分,YSHY_1_1_024F_04,55,男性,994a9176-0b45-4218-ad29-e22f1ef2a81f,994a9176-0b45-4218-ad29-e22f1ef2a81f,old
韩强,男,33,未婚,小学及以下,上班族,无车,60分钟以上,驾车,金融,1333,去工作地,7时50分,17时22分,YSHY_4_1_023F_03,33,男性,c7628dfc-7346-4971-a41b-964a8db9e937,c7628dfc-7346-4971-a41b-964a8db9e937,teenager
潘青艳,女,12,未婚,小学及以下,未成年学生,无车,15-30分钟,驾车,学生,50,去学校,7时30分,17时0分,YSHY_9_1_013F_03,12,女性,6212a72e-ae26-4029-b810-d02b7da69497,6212a72e-ae26-4029-b810-d02b7da69497,child
林晓,女,38,已婚,本科,上班族,无车,15-30分钟,公共交通,制造业,854,去工作地,7时58分,19时1分,YSHY_13_1_028F_01,38,女性,b6fddf97-2b6a-48b3-a1b4-8f4cca77840f,b6fddf97-2b6a-48b3-a1b4-8f4cca77840f,teenager
沈霞,女,26,未婚,小学及以下,自由职业,无车,60分钟以上,公共交通,制造业,1334,去小区公共场所,11时26分,17时6分,YSHY_10_1_019F_01,26,女性,61b64244-4b83-4935-836c-428e4d4f49a8,61b64244-4b83-4935-836c-428e4d4f49a8,teenager
王钊骏,男,53,已婚,小学及以下,上班族,有车,15-30分钟,其他,科研,11,去工作地,8时11分,19时33分,YSHY_12_1_006F_02,53,男性,0c9de1b7-3ed6-4241-92ee-6f8bf074881d,0c9de1b7-3ed6-4241-92ee-6f8bf074881d,middle-aged
曹馨,女,55,未婚,小学及以下,退休,有车,15分钟内,公共交通,建筑,1325,去小区商场,10时31分,15时42分,YSHY_2_1_025F_02,55,女性,9caa24a0-fa54-4508-ba2f-4fdb85be8428,9caa24a0-fa54-4508-ba2f-4fdb85be8428,old
陈泽,男,48,已婚,小学及以下,上班族,无车,15-30分钟,公共交通,金融,12,去工作地,7时31分,17时43分,YSHY_10_1_010F_01,48,男性,606909d3-b0f2-49d5-bb81-c1e6d2e778c9,606909d3-b0f2-49d5-bb81-c1e6d2e778c9,middle-aged
彭倩洋,女,0,未婚,小学及以下,未成年学生,无车,15分钟内,步行,无,1301,去学校,7时30分,16时1分,YSHY_5_1_005F_01,0,女性,ee936347-f07c-4af5-aace-d689a4b07aa5,ee936347-f07c-4af5-aace-d689a4b07aa5,old
冯志,男,86,未婚,本科,上班族,有车,15-30分钟,步行,建筑,1335,去工作地,7时39分,18时47分,YSHY_10_1_007F_04,86,男性,bf5c3709-3553-4843-a8fb-87170a3bc42c,bf5c3709-3553-4843-a8fb-87170a3bc42c,old
谢文,男,93,未婚,大专,退休,有车,15分钟内,驾车,教育,1336,去小区商场,9时52分,14时40分,YSHY_4_1_017F_01,93,男性,6fc82dbb-0241-406e-abbe-e02838dd4ea1,6fc82dbb-0241-406e-abbe-e02838dd4ea1,old
吕勋舟,男,34,未婚,小学及以下,上班族,无车,15分钟内,驾车,社会保障/公共管理,1337,去工作地,7时53分,19时17分,YSHY_6_1_018F_04,34,男性,7d603ece-bc8e-4227-8257-d50974d70fb2,7d603ece-bc8e-4227-8257-d50974d70fb2,teenager
陈浩,男,61,已婚,小学及以下,退休,有车,15分钟内,驾车,建筑,13,去小区商场,9时58分,14时59分,YSHY_4_1_022F_03,61,男性,2adb35a3-5c0f-4c41-9c82-891627c79aad,2adb35a3-5c0f-4c41-9c82-891627c79aad,old
于杰文,男,54,未婚,初中,上班族,无车,15-30分钟,骑车,制造业,1338,去工作地,7时40分,18时18分,YSHY_2_1_022F_04,54,男性,753c044f-c02e-417b-b81f-e79b34d53ad6,753c044f-c02e-417b-b81f-e79b34d53ad6,middle-aged
肖倩,女,64,未婚,小学及以下,退休,有车,15分钟内,公共交通,房地产,195,去小区商场,11时18分,16时36分,YSHY_1_1_017F_03,64,女性,9db93dbf-f0ab-47f6-9229-82887ef5e6f4,9db93dbf-f0ab-47f6-9229-82887ef5e6f4,old
邓明,男,86,未婚,小学及以下,上班族,无车,15-30分钟,驾车,交通运输/仓储/邮政,1339,去工作地,7时14分,17时32分,YSHY_13_1_018F_03,86,男性,6cedbff8-39ac-4123-a3ce-9a581a31a21d,6cedbff8-39ac-4123-a3ce-9a581a31a21d,old
吕雅玲,女,37,已婚,初中,上班族,有车,60分钟以上,公共交通,建筑,321,去工作地,7时40分,19时30分,YSHY_1_1_018F_01,37,女性,7e634ad9-a5a4-4d2b-bb41-4ce83628c18e,7e634ad9-a5a4-4d2b-bb41-4ce83628c18e,teenager
罗健鹏,男,61,已婚,高中,上班族,无车,15分钟内,公共交通,交通运输/仓储/邮政,14,去工作地,7时25分,18时9分,YSHY_10_1_019F_04,61,男性,dd7752a1-15a5-40b7-8fe6-522cec546cd4,dd7752a1-15a5-40b7-8fe6-522cec546cd4,old
赵涛斌,男,4,未婚,小学及以下,未成年学生,无车,15-30分钟,驾车,学生,788,去学校,7时32分,16时0分,YSHY_12_1_004F_02,4,男性,d8ef2fcc-be7a-4d87-968d-6d33f11cbd64,d8ef2fcc-be7a-4d87-968d-6d33f11cbd64,child
邓磊,男,9,未婚,小学及以下,未成年学生,无车,30-60分钟,驾车,学生,175,去学校,7时24分,15时57分,YSHY_13_1_019F_03,9,男性,be5cf68a-ab6e-4413-8944-12cdf16cef17,be5cf68a-ab6e-4413-8944-12cdf16cef17,child
孙天,男,18,未婚,小学及以下,上班族,无车,30-60分钟,驾车,公共设施,1340,去工作地,7时30分,18时15分,YSHY_10_1_004F_04,18,男性,144e3013-4733-41dc-a596-7230b0f0ead9,144e3013-4733-41dc-a596-7230b0f0ead9,child
郑青静,女,50,未婚,小学及以下,上班族,有车,15-30分钟,其他,制造业,1341,去工作地,7时47分,18时13分,YSHY_6_1_011F_02,50,女性,15b913cf-4b93-4ca4-82d5-582c1c8ed60b,15b913cf-4b93-4ca4-82d5-582c1c8ed60b,middle-aged
周伟,男,50,已婚,本科,上班族,有车,15分钟内,骑车,批发和零售,15,去工作地,7时33分,19时49分,YSHY_2_1_020F_04,50,男性,e8aaae05-1d3f-43ee-93ff-50ac439f5cb7,e8aaae05-1d3f-43ee-93ff-50ac439f5cb7,middle-aged
袁娜琳,女,4,未婚,小学及以下,未成年学生,无车,15-30分钟,驾车,学生,425,去学校,7时30分,15时59分,YSHY_2_1_008F_02,4,女性,25161af8-cab1-44fc-b483-0b52d9e696cc,25161af8-cab1-44fc-b483-0b52d9e696cc,child
黄萍娜,女,59,未婚,本科,退休,无车,15分钟内,其他,社会保障/公共管理,1222,去小区商场,9时43分,14时20分,YSHY_10_1_014F_04,59,女性,09a103e2-195f-420a-a645-135f4b02d15b,09a103e2-195f-420a-a645-135f4b02d15b,old
袁建,男,54,未婚,高中,上班族,有车,15-30分钟,驾车,批发和零售,910,去工作地,7时55分,18时53分,YSHY_3_1_030F_03,54,男性,d9045036-ece9-44a5-bd11-0a7301ae64d7,d9045036-ece9-44a5-bd11-0a7301ae64d7,middle-aged
郭松建,男,89,未婚,小学及以下,上班族,有车,15-30分钟,骑车,住宿/餐饮,-1,去工作地,7时36分,18时41分,YSHY_9_1_027F_01,89,男性,73e6a8c4-77ab-4b48-ac6d-5dd560340a6e,73e6a8c4-77ab-4b48-ac6d-5dd560340a6e,old
邓晓唯,女,83,未婚,小学及以下,上班族,无车,15-30分钟,公共交通,制造业,1342,去工作地,8时3分,18时38分,YSHY_13_1_028F_02,83,女性,255dfc90-11d4-4042-b16f-22ee9988f8b1,255dfc90-11d4-4042-b16f-22ee9988f8b1,old
王勇健,男,4,未婚,小学及以下,未成年学生,无车,15分钟内,公共交通,学生,547,去学校,7时33分,15时59分,YSHY_9_1_021F_01,4,男性,0654c047-b8c6-472f-978a-da9e6f6a22bc,0654c047-b8c6-472f-978a-da9e6f6a22bc,child
陈艳唯,女,36,未婚,小学及以下,上班族,有车,15-30分钟,驾车,教育,1343,去工作地,7时58分,19时26分,YSHY_10_1_028F_02,36,女性,07a10d07-d6ef-4186-b0ab-52429cb76952,07a10d07-d6ef-4186-b0ab-52429cb76952,teenager
黄豪,男,0,未婚,小学及以下,未成年学生,无车,15分钟内,步行,无,1246,去学校,7时32分,15时57分,YSHY_1_1_023F_03,0,男性,94680b58-f153-4256-8509-755b83cbf5db,94680b58-f153-4256-8509-755b83cbf5db,old
郭倩莎,女,11,未婚,小学及以下,未成年学生,无车,60分钟以上,公共交通,学生,495,去学校,7时29分,17时4分,YSHY_5_1_029F_02,11,女性,69a501d8-923c-400b-9aef-91ef66b1f3ec,69a501d8-923c-400b-9aef-91ef66b1f3ec,child
袁萍,女,18,未婚,高中,大学生,有车,15分钟内,驾车,大学生,1344,去学校,7时53分,15时14分,YSHY_9_1_024F_03,18,女性,15fdf677-a9b9-4401-a5bc-a468ea2e3629,15fdf677-a9b9-4401-a5bc-a468ea2e3629,child
谢妍敏,女,43,未婚,博士,上班族,有车,60分钟以上,驾车,社会保障/公共管理,1174,去工作地,8时4分,18时20分,YSHY_10_1_021F_04,43,女性,b966a001-8440-43d9-be22-d73c26c93f26,b966a001-8440-43d9-be22-d73c26c93f26,middle-aged
邓婷慧,女,33,已婚,初中,上班族,无车,30-60分钟,驾车,批发和零售,718,去工作地,8时6分,19时17分,YSHY_6_1_002F_02,33,女性,380c352a-cd89-4d02-a9f8-070cd915f4ce,380c352a-cd89-4d02-a9f8-070cd915f4ce,teenager
曹佳霞,女,5,未婚,小学及以下,未成年学生,无车,15-30分钟,公共交通,学生,363,去学校,7时23分,16时1分,YSHY_9_1_016F_04,5,女性,ad8b038b-e4f5-4e27-ae70-8824d4e2bdbe,ad8b038b-e4f5-4e27-ae70-8824d4e2bdbe,child
董嫣,女,51,未婚,小学及以下,上班族,无车,15-30分钟,骑车,制造业,1345,去工作地,8时1分,18时18分,YSHY_3_1_015F_03,51,女性,109639e2-c32c-435a-a1e9-72aaed99ac32,109639e2-c32c-435a-a1e9-72aaed99ac32,middle-aged
周艳莉,女,33,已婚,初中,上班族,有车,15-30分钟,驾车,社会保障/公共管理,868,去工作地,7时27分,18时46分,YSHY_13_1_016F_02,33,女性,8a1abf6d-b9f6-4031-b6d8-7b027e838a7b,8a1abf6d-b9f6-4031-b6d8-7b027e838a7b,teenager
谢玲红,女,92,未婚,小学及以下,退休,有车,15分钟内,公共交通,租赁/商务服务,1346,去小区商场,9时24分,14时1分,YSHY_1_1_011F_02,92,女性,ba8a08bb-fec1-42a4-a7af-c4b929549e95,ba8a08bb-fec1-42a4-a7af-c4b929549e95,old
任媛红,女,11,未婚,小学及以下,未成年学生,无车,15-30分钟,驾车,学生,737,去学校,7时23分,16时56分,YSHY_3_1_009F_02,11,女性,f5d7f0d2-f91e-4a1b-8951-18eb96dd6f24,f5d7f0d2-f91e-4a1b-8951-18eb96dd6f24,child
邓志,男,27,已婚,初中,上班族,无车,30-60分钟,驾车,批发和零售,16,去工作地,7时53分,18时3分,YSHY_5_1_003F_01,27,男性,3b3a67a0-6324-48c0-9c72-ff853f4246d3,3b3a67a0-6324-48c0-9c72-ff853f4246d3,teenager
程天晓,男,41,已婚,小学及以下,上班族,有车,30-60分钟,驾车,教育,17,去工作地,7时19分,19时1分,YSHY_1_1_015F_03,41,男性,c6be1a49-7813-4610-b3e2-6766da3c1a7c,c6be1a49-7813-4610-b3e2-6766da3c1a7c,middle-aged
郑浩,男,2,未婚,小学及以下,未成年学生,无车,15分钟内,步行,无,723,去学校,7时24分,15时57分,YSHY_3_1_016F_04,2,男性,d9f73bbf-431c-43ba-893c-b0d445b5740a,d9f73bbf-431c-43ba-893c-b0d445b5740a,child
程梓华,男,58,未婚,小学及以下,上班族,无车,30-60分钟,驾车,制造业,1347,去工作地,7时27分,18时34分,YSHY_6_1_011F_04,58,男性,2233817b-ae38-4f3a-b26d-c838f37cf34b,2233817b-ae38-4f3a-b26d-c838f37cf34b,old
杜佳晓,女,8,未婚,小学及以下,未成年学生,无车,15-30分钟,其他,学生,1110,去学校,7时32分,15时58分,YSHY_3_1_018F_02,8,女性,bd319d3d-a05a-4e18-9587-5e633635ad36,bd319d3d-a05a-4e18-9587-5e633635ad36,child
郭梦美,女,47,已婚,初中,上班族,无车,15-30分钟,公共交通,教育,752,去工作地,7时6分,19时2分,YSHY_13_1_025F_02,47,女性,d8e7f98c-7f40-4677-a372-ccbbb83b350e,d8e7f98c-7f40-4677-a372-ccbbb83b350e,middle-aged
吴媛晓,女,31,未婚,小学及以下,上班族,无车,15分钟内,公共交通,建筑,1348,去工作地,7时38分,18时22分,YSHY_3_1_012F_03,31,女性,5a69695e-ef32-4a81-8697-b5f4ef14c61a,5a69695e-ef32-4a81-8697-b5f4ef14c61a,teenager
田立,男,21,未婚,高中,上班族,有车,15-30分钟,驾车,住宿/餐饮,1349,去工作地,7时26分,17时50分,YSHY_8_1_014F_03,21,男性,90aef3da-8789-4400-8b74-90b407f4e375,90aef3da-8789-4400-8b74-90b407f4e375,teenager
许晓唯,女,50,未婚,小学及以下,上班族,有车,15-30分钟,步行,文化/体育/娱乐,1350,去工作地,7时42分,19时17分,YSHY_7_1_006F_02,50,女性,cfc3bbd0-2c26-4a44-9122-9e8c893184ed,cfc3bbd0-2c26-4a44-9122-9e8c893184ed,middle-aged
宋唯,女,13,未婚,小学及以下,未成年学生,无车,30-60分钟,驾车,学生,47,去学校,7时32分,17时26分,YSHY_10_1_001F_02,13,女性,47315b77-85f4-4ded-8d7b-6b125e39748e,47315b77-85f4-4ded-8d7b-6b125e39748e,child
苏建豪,男,43,已婚,小学及以下,自由职业,有车,15分钟内,公共交通,建筑,18,去小区公共场所,11时18分,12时25分,YSHY_4_1_028F_01,43,男性,759113ce-33f2-4e59-96e7-8edbdd97661c,759113ce-33f2-4e59-96e7-8edbdd97661c,middle-aged
邓燕,女,26,未婚,小学及以下,上班族,无车,30-60分钟,驾车,卫生/公共安全,1351,去工作地,7时27分,19时34分,YSHY_10_1_026F_04,26,女性,fbfa0aa7-aa0d-4fe7-8f27-84303919f52c,fbfa0aa7-aa0d-4fe7-8f27-84303919f52c,teenager
魏志,男,81,未婚,大专,退休,有车,15分钟内,其他,信息/软件技术,1352,去小区商场,9时46分,15时10分,YSHY_3_1_008F_01,81,男性,4adc4786-aa84-4792-bf25-c70addfdc123,4adc4786-aa84-4792-bf25-c70addfdc123,old
陈航,男,5,未婚,小学及以下,未成年学生,无车,15-30分钟,驾车,学生,1227,去学校,7时28分,16时3分,YSHY_6_1_005F_02,5,男性,43925e97-9b77-4695-926e-8f7908cf1c83,43925e97-9b77-4695-926e-8f7908cf1c83,child
罗超,男,5,未婚,小学及以下,未成年学生,无车,30-60分钟,公共交通,学生,86,去学校,7时27分,16时0分,YSHY_10_1_015F_03,5,男性,38fee07d-b7a8-4a5b-8963-6db05226ae20,38fee07d-b7a8-4a5b-8963-6db05226ae20,child
蒋妍婷,女,41,未婚,小学及以下,上班族,无车,15-30分钟,驾车,建筑,1353,去工作地,7时23分,18时7分,YSHY_7_1_021F_02,41,女性,f19300d3-6941-4fda-b31d-3942281569bc,f19300d3-6941-4fda-b31d-3942281569bc,middle-aged
肖燕,女,25,已婚,初中,上班族,有车,30-60分钟,驾车,农业,938,去工作地,7时35分,19时1分,YSHY_2_1_023F_02,25,女性,81774a0e-c574-492e-83fb-30e422863ef0,81774a0e-c574-492e-83fb-30e422863ef0,teenager
唐柏,男,51,未婚,小学及以下,上班族,无车,15-30分钟,步行,金融,627,去工作地,7时22分,18时50分,YSHY_6_1_018F_03,51,男性,b626167a-d02c-4992-8c17-f3a00f59ff2e,b626167a-d02c-4992-8c17-f3a00f59ff2e,middle-aged
罗莎萍,女,0,未婚,小学及以下,未成年学生,无车,15分钟内,步行,无,741,去学校,7时27分,16时2分,YSHY_8_1_017F_04,0,女性,ebf2e870-aa35-46fe-aa92-290cc86f84c1,ebf2e870-aa35-46fe-aa92-290cc86f84c1,old
苏勇华,男,2,未婚,小学及以下,未成年学生,无车,15分钟内,步行,无,915,去学校,7时30分,16时4分,YSHY_13_1_028F_02,2,男性,9581df99-e83b-452f-b465-eadfc47139a9,9581df99-e83b-452f-b465-eadfc47139a9,child
